BioProject ID,Run ID,Organ,Treatment,Experiment,Description
PRJNA725025,SRR14321731,Leaf,ESG_Resistant-mutant_Drought_14D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321730,Leaf,ESG_Resistant-mutant_Drought_14D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321729,Leaf,ESG_Resistant-mutant_Drought_14D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321728,Leaf,FSG_Resistant-mutant_Re-water_2D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321727,Leaf,FSG_Resistant-mutant_Re-water_2D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321726,Leaf,FSG_Resistant-mutant_Re-water_2D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321725,Leaf,CZ6_Wild_Drought_10D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321724,Leaf,AU9_OverEx_non-treat,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321723,Leaf,AU9_OverEx_non-treat,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321722,Leaf,AU9_OverEx_non-treat,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
